category,service,duration,price_from,description
Haircuts,Standard Haircut,25 mins - 50 mins,48,"Tailored style cut with styling product included along with consultation to deliver a style that complements your unique facial aesthetics. Includes fades from no. 1 guard. Excludes all Zero/Skin/Burst Fades. Scissor cut only is +$5"
Haircuts,Zero Fade,30 mins - 55 mins,50,"A modern haircut featuring a clean Zero Fade around the sides and back, styled with your preferred top length. Suggest trying a Zero Fade before the more intense Skin Fade."
Haircuts,Skin,30 mins - 1 hour,54,"Skin fade, razor-like finish around sides/back, precisely blended. Standalone or bundled with beard or razor shave."
Haircuts,Scissor Cut (RESTYLE or last cut 3 months+),30 mins - 35 mins,54,"Precision scissor work, tailored shaping and expert detailing. Ideal for mid to longer hair or classic styles, creating texture and movement."
Haircuts,Buzz Cut - Clipper Only,10 mins - 45 mins,28,"Clipper cut only with single guard. Extra guard +$5. Fade not included."
Haircuts,Boys Cuts <14,25 mins - 30 mins,39,"Haircut for under 14s. Classic standard style or Zero/Skin/Burst fade. Burst Fades and Blow-out tapers book as Zero or Skin fade."
Haircuts,Pensioner (65yr+) *Card Required*,15 mins - 30 mins,35,"For gents over 65 with pension card presented. Classic trim. Scissors-only request +$6."
Beards & Shaves,Beard Trim,15 mins - 20 mins,29,"Precise beard trim and line-up. Select Premium Beard Styling for long beards to allow shaping + hot towel."
Beards & Shaves,Hot Towel Razor Shave,30 mins - 50 mins,50,""
Beards & Shaves,Foil Head Shave,25 mins - 45 mins,42,"Razor-like finish by foil shaver machine, flawlessly smooth scalp. Recommended over the razor scalp shave."
Beards & Shaves,Foil Beard Shave,30 mins,40,"Smooth ultra-precise beard shave using a foil shaver, finished with a eucalyptus-infused face towel and cologne. FIXED PRICE (no from)."
Beards & Shaves,Head/Scalp Razor Shave,30 mins,50,"Smooth close head shave with scented hot towel. Precise razor work for an ultra-polished finish."
Kids,Boys Cut < 14,25 mins - 30 mins,39,"Boys cut with crisp shaping, modern finish. Includes only basic 0.5+ fade for under 14s. Skin/Zero/Burst fades cost extra."
Kids,'Father & Son' Haircuts (Standard),25 mins - 30 mins (2 services),87,"Basic haircut package for father and son. Includes 0.5 fade; zero/skin fades cost extra."
Kids,Two Kids - Basic Haircut (Same Time),25 mins (2 services),78,"Two kids haircuts booked in parallel. Includes 0.5 fade. Excludes Zero/Skin/Burst fades."
Kids,Two Kids - Fade Haircut (Same Time),30 mins (2 services),104,"Two kids 'any fade' haircuts booked in parallel. Includes Zero/Skin/Burst fades."
Extra's,Hair Wash - Shampoo (Short/Mid Length),5 mins,7,"Premium hair wash add-on, available before or after your cut."
Extra's,Hair Design Add-On,5 mins,5,""
Extra's,$5 Misc. Add-On,5 mins,5,"FIXED PRICE (no from)."
Aitor VIP,Aitor: Men's Haircut (VIP),35 mins,72,"Hairwash and precision cut tailored to your style. Covers all men's haircut styles except below shoulder length."
Aitor VIP,Aitor: Haircut & Beard - Combo (VIP),55 mins,110,"Complete grooming package: professional haircut with expert beard shaping."
Aitor VIP,Aitor: Beard Trim (VIP),25 mins,49,"Precise beard shaping and tidy lines, even length and clean edges."
JM's Services,JM VIP Haircut + Beard Combo,1 hour,125,"Fresh haircut and sharp beard trim with JM."
Ali Services (VIP),Ali - Haircut (Any Style),25 mins,55,"Transformative haircut with Ali."
Ali Services (VIP),Ali - Haircut & Beard COMBO,40 mins,99,"Transformative haircut & beard combo with Ali."
